material_category,product,can_be_recycled,remarks
paper,printed paper,yes,make sure it is clean before recycling
paper,writing paper,yes,make sure it is clean before recycling
paper,newspaper,yes,make sure it is clean before recycling
paper,flyer (glossy & non-glossy),yes,make sure it is clean before recycling
paper,brochure (glossy & non-glossy),yes,make sure it is clean before recycling
paper,magazine (glossy and non-glossy),yes,make sure it is clean before recycling
paper,books,yes,donate if it can be reused
paper,textbooks,yes,donate if it can be reused
paper,telephone directory,yes,make sure it is clean before recycling
paper,envelope (with and without plastic window),yes,make sure it is clean before recycling
paper,red packet,yes,make sure it is clean before recycling
paper,namecard,yes,make sure it is clean before recycling
paper,calendar,yes,make sure it is clean before recycling
paper,greeting card,yes,make sure it is clean before recycling
paper,gift wrappping paper,yes,make sure it is clean before recycling
paper,shredded paper,yes,make sure it is clean before recycling
paper,paper receipt,yes,make sure it is clean before recycling
paper,carton box and cardboard box,yes,please flatten before recycling
paper,paper packaging,yes,please flatten before recycling
paper,printed paper box,yes,please flatten before recycling
paper,paper box,yes,please flatten before recycling
paper,egg trays,yes,make sure it is clean before recycling
paper,"beverage carton (e.g. milk carton, drink packet, juice packet)",yes,"please empty, rinse and flatten before recycling"
paper,paper towel tube,yes,make sure it is clean before recycling
paper,toilet roll tube,yes,please flatten before recycling
paper,tissue box,yes,please flatten before recycling
paper,paper bag,yes,make sure it is clean before recycling
paper,"paper disposable (e.g. paper cup, paper plate, glitter paper, crayon drawing)",no,dispose as general waste
paper,tissue paper,no,dispose as general waste
paper,paper towel,no,dispose as general waste
paper,toilet paper,no,dispose as general waste
paper,disposable wooden chopsticks,no,dispose as general waste
paper,wooden chopsticks,no,dispose as general waste
paper,pizza boxes,no,dispose as general waste
paper,waxx paper,no,dispose as general waste
paper,paper packaging contaminated with food,no,dispose as general waste
f&b plastic,"plastic bottle and container (e.g. mineral water bottle, soft drink bottle, carbonated drink bottle, milk bottle, water bottle, medicine bottle",yes,please empty and rinse before recycling
non-food plastic,shampoo bottle,yes,please empty and rinse before recycling
non-food plastic,bodywash bottle,yes,please empty and rinse before recycling
non-food plastic,facial cleanser bottle,yes,please empty and rinse before recycling
non-food plastic,detergent bottle,yes,please empty and rinse before recycling
non-food plastic,soap bottle,yes,please empty and rinse before recycling
plastic,CD/DVD,yes,make sure it is clean before recycling
plastic,CD/DVD casing,yes,make sure it is clean before recycling
plastic,plastic bag,yes,make sure it is clean before recycling
plastic,toilet paper packaging,yes,make sure it is clean before recycling
plastic,tissue box packaging,yes,make sure it is clean before recycling
plastic,"plastic film (e.g. magazine wrapper, platic packaging for packet drink)",yes,make sure it is clean before recycling
plastic,bubble wrap,yes,make sure it is clean before recycling
plastic,fruit box,yes,make sure it is clean before recycling
plastic,ziplock bag,yes,make sure it is clean before recycling
plastic,plastic packaging,yes,please empty contents before recycling
plastic,bread bag,yes,please empty contents before recycling
plastic,egg trays,yes,please empty contents before recycling
plastic,plastic clothes hanger,yes,Make sure it is clean before recycling
plastic,plastic takeaway,yes,please empty and rinse before recycling
plastic,food container,yes,please empty and rinse before recycling
plastic,plastic cups,yes,please empty and rinse before recycling
plastic,buble tea cups,yes,please empty and rinse before recycling
plastic,polystyrene foam product,no,dispose as general waste
plastic,styrofoam,no,dispose as general waste
plastic,styrofoam cup,no,dispose as general waste
plastic,styrofoam clamshell,no,dispose as general waste
plastic,plastic container,no,dispose as general waste
plastic,plastic disposables,no,dispose as general waste
plastic,plastic cutlery,no,dispose as general waste
plastic,plastic crockery,no,dispose as general waste
plastic,plastic packaging with foil,no,dispose as general waste
plastic,potato chip bags,no,dispose as general waste
plastic,empty blister pack,no,dispose as general waste
plastic,blister pack,no,dispose as general waste
plastic,expired credit cards,no,dispose as general waste
plastic,oxo-degradable bag,no,dispose as general waste
plastic,bio-degradable bag,no,dispose as general waste
plastic,drinking straw,no,dispose as general waste
